[2020-11-20 18:11:24.254571][16196:1152][main.cpp:180]debug:Program 0.6.16.6 initialized!
[2020-11-20 18:11:24.255569][16196:1152][main.cpp:198]debug:Compile platforms: Essl 100 .
[2020-11-20 18:11:24.493930][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(299):ps done in 0.001s.
[2020-11-20 18:11:24.495926][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(427):vs done in 0.001s.
[2020-11-20 18:11:24.496937][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(427):ps done in 0.001s.
[2020-11-20 18:11:24.497947][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(44):vs done in 0.001s.
[2020-11-20 18:11:24.498950][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(44):ps done in 0.001s.
[2020-11-20 18:11:24.500912][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(662):vs done in 0.001s.
[2020-11-20 18:11:24.501910][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(662):ps done in 0.001s.
[2020-11-20 18:11:24.502934][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(267):vs done in 0.002s.
[2020-11-20 18:11:24.504943][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(267):ps done in 0.001s.
[2020-11-20 18:11:24.506916][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(395):vs done in 0.001s.
[2020-11-20 18:11:24.508891][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(395):ps done in 0.001s.
[2020-11-20 18:11:24.509888][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(12):vs done in 0.001s.
[2020-11-20 18:11:24.510886][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(12):ps done in 0.002s.
[2020-11-20 18:11:24.512905][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(670):vs done in 0.001s.
[2020-11-20 18:11:24.513878][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(670):ps done in 0.001s.
[2020-11-20 18:11:24.514889][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(275):vs done in 0.001s.
[2020-11-20 18:11:24.516870][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(275):ps done in 0.001s.
[2020-11-20 18:11:24.517893][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(403):vs done in 0.001s.
[2020-11-20 18:11:24.518864][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(403):ps done in 0.001s.
[2020-11-20 18:11:24.520864][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(20):vs done in 0.002s.
[2020-11-20 18:11:24.522884][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(20):ps done in 0.001s.
[2020-11-20 18:11:24.524848][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(686):vs done in 0.002s.
[2020-11-20 18:11:24.525872][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(686):ps done in 0.001s.
[2020-11-20 18:11:24.526843][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(291):vs done in 0.001s.
[2020-11-20 18:11:24.528837][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(291):ps done in 0.001s.
[2020-11-20 18:11:24.529834][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(419):vs done in 0.001s.
[2020-11-20 18:11:24.530859][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(419):ps done in 0.001s.
[2020-11-20 18:11:24.532827][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(36):vs done in 0.001s.
[2020-11-20 18:11:24.533824][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(36):ps done in 0.001s.
[2020-11-20 18:11:24.534850][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(654):vs done in 0.001s.
[2020-11-20 18:11:24.536816][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(654):ps done in 0.002s.
[2020-11-20 18:11:24.537844][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(259):vs done in 0.001s.
[2020-11-20 18:11:24.539846][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(259):ps done in 0.001s.
[2020-11-20 18:11:24.540808][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(387):vs done in 0.001s.
[2020-11-20 18:11:24.542800][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(387):ps done in 0.001s.
[2020-11-20 18:11:24.543797][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(4):vs done in 0.001s.
[2020-11-20 18:11:24.544794][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(4):ps done in 0.001s.
[2020-11-20 18:11:24.546789][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(295):vs done in 0.001s.
[2020-11-20 18:11:24.547786][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(295):ps done in 0.001s.
[2020-11-20 18:11:24.548797][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(487):vs done in 0.001s.
[2020-11-20 18:11:24.550778][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(487):ps done in 0.001s.
[2020-11-20 18:11:24.551776][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(24):vs done in 0.001s.
[2020-11-20 18:11:24.552803][16196:1152][compiler.cpp:391]info:System::Effect::BlinnPhong:pass(0):variant(24):ps done in 0.001s.
[2020-11-20 18:11:24.554768][16196:1152][compiler.cpp:374]info:System::Effect::BlinnPhong:pass(0):variant(40):vs done in 0.001s.
